"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"913,200","906,800","919,700","918,300",5150,0.56%,2025/02/24,1403/12/06
"926,150","912,300","928,700","913,150",14250,1.56%,2025/02/23,1403/12/05
"930,850","922,300","933,700","927,400",8400,0.91%,2025/02/22,1403/12/04
"930,000","929,600","943,700","935,800",5100,0.55%,2025/02/21,1403/12/03
"921,350","921,300","932,700","930,700",9000,0.98%,2025/02/19,1403/12/01
"918,700","918,300","928,700","921,700",1750,0.19%,2025/02/18,1403/11/30
"908,600","908,300","920,200","919,950",11750,1.29%,2025/02/17,1403/11/29
"906,900","906,850","912,200","908,200",1150,0.13%,2025/02/16,1403/11/28
"907,350","896,800","912,200","907,050",900,0.1%,2025/02/15,1403/11/27
"903,550","902,300","909,700","906,150",15550,1.75%,2025/02/14,1403/11/26
"884,200","883,800","890,700","890,600",7100,0.8%,2025/02/12,1403/11/24
"885,700","874,300","885,700","883,500",2000,0.23%,2025/02/11,1403/11/23
"916,650","869,800","916,700","881,500",32150,3.65%,2025/02/10,1403/11/22
"888,400","888,300","913,700","913,650",24050,2.7%,2025/02/08,1403/11/20
"877,600","874,300","890,700","889,600",35000,4.1%,2025/02/07,1403/11/19
"851,800","851,800","855,700","854,600",1900,0.22%,2025/02/05,1403/11/17
"845,500","845,300","854,200","852,700",6750,0.8%,2025/02/04,1403/11/16
"838,200","837,800","846,200","845,950",7300,0.87%,2025/02/03,1403/11/15
"840,200","836,300","844,200","838,650",1850,0.22%,2025/02/02,1403/11/14
"838,950","838,600","845,200","840,500",2850,0.34%,2025/02/01,1403/11/13
"834,700","834,300","838,200","837,650",2550,0.31%,2025/01/31,1403/11/12
"832,100","830,600","835,700","835,100",2800,0.34%,2025/01/29,1403/11/10
"836,400","830,600","837,700","832,300",7000,0.84%,2025/01/28,1403/11/09
"837,400","835,300","841,200","839,300",500,0.06%,2025/01/26,1403/11/07
"835,850","835,300","839,700","838,800",4900,0.59%,2025/01/25,1403/11/06
"829,400","829,300","835,700","833,900",5150,0.62%,2025/01/24,1403/11/05
"824,800","824,800","839,200","839,050",13350,1.62%,2025/01/22,1403/11/03
