"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"67,443,000","67,443,000","70,446,000","69,754,000",2422000,3.6%,2025/04/15,1404/01/26
"70,354,000","66,607,000","71,229,000","67,332,000",247000,0.37%,2025/04/14,1404/01/25
"66,231,000","66,231,000","68,828,000","67,579,000",1147000,1.73%,2025/04/13,1404/01/24
"73,762,000","65,580,000","73,762,000","66,432,000",7350000,11.06%,2025/04/12,1404/01/23
"76,373,000","73,607,000","76,373,000","73,782,000",2616000,3.55%,2025/04/11,1404/01/22
"75,422,000","75,422,000","77,329,000","76,398,000",967000,1.28%,2025/04/09,1404/01/20
"73,725,000","73,725,000","75,710,000","75,431,000",1787000,2.43%,2025/04/08,1404/01/19
"78,243,000","72,273,000","78,243,000","73,644,000",4592000,6.24%,2025/04/07,1404/01/18
"79,836,000","78,148,000","80,445,000","78,236,000",1627000,2.08%,2025/04/06,1404/01/17
"77,218,000","77,218,000","80,166,000","79,863,000",2758000,3.58%,2025/04/05,1404/01/16
"82,461,000","77,026,000","82,461,000","77,105,000",5277000,6.84%,2025/04/04,1404/01/15
"81,853,000","81,853,000","83,006,000","82,382,000",565000,0.69%,2025/04/02,1404/01/13
"82,821,000","81,066,000","82,821,000","81,817,000",997000,1.22%,2025/03/29,1404/01/09
"81,147,000","81,147,000","83,608,000","82,814,000",1672000,2.06%,2025/03/28,1404/01/08
"79,951,000","79,951,000","81,507,000","81,142,000",1193000,1.49%,2025/03/26,1404/01/06
"79,381,000","78,568,000","80,524,000","79,949,000",561000,0.71%,2025/03/25,1404/01/05
"81,112,000","77,986,000","81,112,000","79,388,000",1706000,2.15%,2025/03/24,1404/01/04
"76,982,000","76,982,000","81,992,000","81,094,000",4116000,5.35%,2025/03/17,1403/12/27
"73,771,000","73,771,000","76,982,000","76,978,000",3184000,4.31%,2025/03/16,1403/12/26
"68,708,000","68,477,000","73,935,000","73,794,000",5081000,7.39%,2025/03/15,1403/12/25
"68,117,000","67,653,000","68,763,000","68,713,000",603000,0.89%,2025/03/14,1403/12/24
"67,263,000","67,263,000","68,671,000","68,110,000",852000,1.27%,2025/03/12,1403/12/22
"66,658,000","66,639,000","68,253,000","67,258,000",512000,0.77%,2025/03/11,1403/12/21
"67,355,000","66,353,000","67,817,000","66,746,000",595000,0.89%,2025/03/10,1403/12/20
"67,212,000","66,704,000","69,010,000","67,341,000",159000,0.24%,2025/03/09,1403/12/19
"68,422,000","64,735,000","69,839,000","67,182,000",824000,1.24%,2025/03/08,1403/12/18
"66,159,000","65,409,000","67,129,000","66,358,000",2572000,4.03%,2025/03/07,1403/12/17
"63,911,000","62,786,000","64,236,000","63,786,000",129000,0.2%,2025/03/05,1403/12/15
"64,495,000","63,687,000","64,631,000","63,915,000",439000,0.69%,2025/03/04,1403/12/14
"63,777,000","63,777,000","65,300,000","64,354,000",580000,0.91%,2025/03/03,1403/12/13
"64,640,000","63,338,000","64,952,000","63,774,000",1337000,2.1%,2025/03/02,1403/12/12
"64,375,000","64,061,000","65,808,000","65,111,000",753000,1.17%,2025/03/01,1403/12/11
